gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,180,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2839,1,7.4407,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,202.93,1375.11
gfx950,256,180,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3404,1,9.5702,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,236.66,1526.66
gfx950,256,186,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1790,1,7.5389,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x3_ks1_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0022,206.96,1365.35
gfx950,256,186,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2095,1,9.6032,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x4_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,243.71,1528.45
gfx950,256,204,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2688,1,7.512,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,227.81,1394.78
gfx950,256,204,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3147,1,9.3046,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,275.88,1599.29
gfx950,256,204,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2757,1,11.3002,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0034,302.88,1706.52
gfx950,256,210,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2708,1,7.486,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,235.32,1407.83
gfx950,256,210,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3199,1,9.3751,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x8_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,281.85,1594.47
gfx950,256,216,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3147,1,9.4155,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,288.66,1594.81
gfx950,256,336,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2327,1,9.1831,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x1x2_bias0_ktail0_gm0_pft_gfx950,0.0021,306.93,1288.15
gfx950,256,336,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2601,1,11.6582,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,362.65,1403.96
gfx950,256,352,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2346,1,9.4523,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x5_ks1_w2x1x2_bias0_ktail0_gm0_pft_gfx950,0.0021,312.39,1268.8
gfx950,256,352,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2603,1,12.2015,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,363.0,1356.21
gfx950,256,368,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2341,1,9.3082,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,331.64,1306.04
gfx950,256,368,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2602,1,12.3253,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,375.69,1357.21
gfx950,256,420,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,358,1,9.9936,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x4_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,352.55,1269.75
gfx950,256,420,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,397,1,13.305,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x4_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,397.21,1301.3
gfx950,256,464,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,397,1,13.4763,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x4_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,433.24,1321.54
gfx950,256,464,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,358,1,15.8001,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x4_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,492.69,1422.7
gfx950,256,496,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,358,1,10.5447,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x4_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,394.58,1277.2
gfx950,256,1038,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,27.6531,native,0.0,629.76,1067.95
gfx950,256,1158,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,27.3627,native,0.0,710.02,1133.17
gfx950,256,1176,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,27.9818,native,0.0,705.1,1116.01
gfx950,256,1272,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,28.7339,native,0.0,742.7,1127.85
gfx950,256,2048,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,30.5308,native,0.0,844.06,1167.73
gfx950,256,2049,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,41.8746,native,0.0,820.94,1001.93
gfx950,256,2561,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,39.7494,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,810.7,1042.28
