gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,240,6144,3072,ck,3,0,29.0169,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,312.22,777.5,0.0
gfx942,304,240,6144,6144,ck,3,0,52.8388,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,342.92,798.13,0.0
gfx942,304,248,6144,3072,ck,3,0,28.8633,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,324.35,785.9,0.0
gfx942,304,248,6144,4096,ck,3,0,37.0807,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,336.62,788.26,0.0
gfx942,304,248,6144,6144,ck,3,0,53.4316,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,350.42,792.04,0.0
gfx942,304,256,6144,3072,ck,18,0,28.3641,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,340.7,804.06,0.0
gfx942,304,256,6144,6144,ck,18,0,53.2627,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,362.87,797.32,0.0
gfx942,304,1024,6144,3072,ck,0,0,63.2778,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,610.87,546.84,0.0
gfx942,304,1024,6144,6144,ck,0,0,116.6502,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,662.75,485.41,0.0
gfx942,304,1025,6144,3072,ck,0,0,65.8284,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,587.78,525.89,0.0
