M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
232,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
240,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
240,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
240,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
240,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
240,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
240,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
240,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
240,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
240,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
248,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
248,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
248,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
248,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
248,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
248,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
248,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
248,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
248,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
256,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
256,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
272,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
272,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
272,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
272,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
272,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
272,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
272,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
272,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
272,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
288,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
288,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
288,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
288,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
288,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
288,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
288,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
288,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
288,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
304,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
304,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
304,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
304,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
304,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
304,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
304,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
304,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
304,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
320,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
320,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
320,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
320,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
320,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
320,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
320,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
320,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
320,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
336,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
336,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
336,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
336,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
336,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
336,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
336,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
336,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
336,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
352,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
352,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
352,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
352,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
352,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
352,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
352,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
352,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
352,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
368,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
368,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
368,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
368,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
368,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
368,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
368,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
368,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
368,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
384,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
384,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
384,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
384,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
384,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
384,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
400,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
400,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
400,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
400,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
400,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
400,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
400,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
400,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
400,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
416,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
416,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
416,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
416,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
416,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
416,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
416,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
416,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
416,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
432,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
432,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
432,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
432,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
432,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
432,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
432,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
432,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
432,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
448,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
448,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
448,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
448,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
448,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
448,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
448,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
448,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
448,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
464,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
464,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
464,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
464,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
464,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
464,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
464,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
464,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
